  mype,      init,    upsend,    dnsend,    weight,    hfiltT,     hfilt,    vfiltT,     vfilt,     bocoT,      boco,   filt2an,     aintp,      intp,   an2filt,    output,     total,  multiply,  ifc_mult,   ifc_reg,  ifc_fset,preprocess,anal_to_fi, filtering,filt_to_an,postproces,    icount
   186,    0.0000,    5.7928,   83.4374,    0.4317,   25.6572,   25.5307,    7.3556,    6.8088,    3.7758,    7.8167,    0.0000,    0.0000,    0.0000,   22.6566,    0.0000,    0.0000,  220.1837,  220.2700,    0.0103,    0.0222,    5.0446,   23.0528,  166.7171,   19.1998,    4.7507,      3060
   187,    0.0000,    5.3679,   83.8893,    0.3377,   25.7490,   25.5030,    7.6435,    6.4842,    4.0615,    8.1592,    0.0000,    0.0000,    0.0000,   22.5994,    0.0000,    0.0000,  220.7032,  220.7907,    0.0099,    0.0213,    5.0428,   23.1174,  167.3108,   19.1741,    4.5840,      3060
   188,    0.0000,    5.5308,   84.0742,    0.3288,   25.6302,   25.5032,    7.2174,    5.9078,    4.5379,    8.0441,    0.0000,    0.0000,    0.0000,   23.4534,    0.0000,    0.0000,  220.3948,  220.4803,    0.0100,    0.0218,    4.7048,   23.8872,  166.8793,   18.9736,    4.6195,      3060
   189,    0.0000,    5.3135,   85.0231,    0.3414,   25.6007,   25.5503,    7.2315,    5.0599,    4.4685,    8.1356,    0.0000,    0.0000,    0.0000,   23.8549,    0.0000,    0.0000,  220.1228,  220.2083,    0.0098,    0.0216,    4.6799,   24.2057,  166.8281,   17.7084,    5.3832,      3060
   190,    0.0000,    5.4053,   85.6904,    0.3298,   25.6598,   25.5570,    7.2704,    4.7634,    4.2634,    8.1137,    0.0000,    0.0000,    0.0000,   23.3650,    0.0000,    0.0000,  220.0301,  220.1146,    0.0095,    0.0202,    4.6549,   23.8755,  167.1611,   17.5212,    5.5178,      3060
   191,    0.0000,    5.3495,   85.4553,    0.2787,   25.5753,   25.4911,    7.1569,    4.6982,    4.3225,    7.7920,    0.0000,    0.0000,    0.0000,   23.3634,    0.0000,    0.0000,  219.2951,  219.3669,    0.0084,    0.0177,    4.6082,   23.7867,  166.2221,   17.9281,    5.3454,      3060
   192,    0.0000,    4.7409,   86.0170,    0.2324,   25.4879,   25.5467,    7.1942,    4.3051,    4.5842,    7.7411,    0.0000,    0.0000,    0.0000,   23.3275,    0.0000,    0.0000,  216.6358,  216.7085,    0.0084,    0.0179,    4.6561,   23.7417,  165.9494,   14.0704,    6.7806,      3060
   193,    0.0000,    6.4834,   84.2222,    0.2402,   25.5826,   25.5278,    7.2374,    1.9865,    4.6437,    7.7308,    0.0000,    0.0000,    0.0000,   21.3544,    0.0000,    0.0000,  214.3484,  214.4255,    0.0089,    0.0186,    4.5407,   21.8012,  163.7536,   15.5804,    7.3480,      3060
   194,    0.0000,    2.9388,   85.1715,    0.2336,   25.5083,   25.5958,    7.2609,    5.0994,    4.1807,    7.7155,    0.0000,    0.0000,    0.0000,   21.3587,    0.0000,    0.0000,  208.3391,  208.4200,    0.0090,    0.0196,    4.4796,   21.8716,  163.8050,   10.0481,    6.9011,      3060
   195,    0.0000,    5.0706,   81.7146,    0.1671,   25.0371,   25.4331,    6.9927,    4.4128,    5.1721,    7.5883,    0.0000,    0.0000,    0.0000,   24.0349,    0.0000,    0.0000,  198.9950,  199.0506,    0.0070,    0.0074,    1.1881,   24.1665,  161.6732,   10.0364,    1.7183,      3060
