"group"	"reduction_pct"	"name"	"total_ms_1936"	"total_ms_484"	"count_1936"	"count_484"	"time_per_call_ms_1936"	"time_per_call_ms_484"
"G3 10%..-10%"	"0"	"oops::ObsVector::operator-="	"0.01"	"0.01"	"9"	"9"	"0.0007"	"0.001"
"G3 10%..-10%"	"0"	"oops::SampledLocations::~SampledLocations"	"0.21"	"0.21"	"42"	"42"	"0.005"	"0.005"
"G3 10%..-10%"	"-1.61"	"ufo::ObsFilter::postFilter"	"183.9"	"180.98"	"84"	"84"	"2.1892"	"2.1545"
"G3 10%..-10%"	"-3.16"	"oops::ObsAuxIncrement::~ObsAuxIncrement"	"0.98"	"0.95"	"864"	"1008"	"0.0011"	"0.0009"
"G3 10%..-10%"	"-3.3"	"fv3jedi::LinVarChaModel2GeoVaLs::LinVarChaModel2Geo"	"27.82"	"26.93"	"2"	"2"	"13.911"	"13.4639"
"G3 10%..-10%"	"-4.42"	"fv3jedi::IOFms::write state"	"13545.52"	"12971.79"	"1"	"1"	"13545.5198"	"12971.7895"
"G3 10%..-10%"	"-4.55"	"fv3jedi::IOFms::~IOFms"	"0.23"	"0.22"	"62"	"62"	"0.0037"	"0.0035"
"G3 10%..-10%"	"-4.81"	"oops::State::write"	"13643.18"	"13016.61"	"1"	"1"	"13643.177"	"13016.6094"
"G3 10%..-10%"	"-5.99"	"saber::Interpolation::multiply"	"151248"	"142696.64"	"2610"	"2970"	"57.9494"	"48.046"
"G3 10%..-10%"	"-6.6"	"oops::Increment::diff"	"53778.86"	"50450.09"	"65"	"65"	"827.367"	"776.1552"
"G3 10%..-10%"	"-6.67"	"oops::Geometry::variableSizes"	"0.16"	"0.15"	"53"	"53"	"0.003"	"0.0028"
"G3 10%..-10%"	"-7.14"	"oops::ModelData::ModelData"	"0.15"	"0.14"	"2"	"2"	"0.0759"	"0.072"
"G3 10%..-10%"	"-7.57"	"oops::Geometry::Geometry"	"8466.23"	"7870.2"	"3"	"3"	"2822.0766"	"2623.3986"
"G3 10%..-10%"	"-7.69"	"oops::LinearObsOper::aircar_airTemperature_133::req"	"0.14"	"0.13"	"130"	"154"	"0.0011"	"0.0009"
"G3 10%..-10%"	"-8.86"	"oops::LinearVariableChange::LinearVariableChange"	"0.86"	"0.79"	"2"	"2"	"0.4281"	"0.395"
"G3 10%..-10%"	"-9.62"	"oops::VariableChange::~VariableChange"	"0.57"	"0.52"	"5"	"5"	"0.1137"	"0.104"
"G3 10%..-10%"	"-9.66"	"oops::GeometryData::setGlobalTree"	"85493.44"	"77961.28"	"23"	"23"	"3717.1059"	"3389.6209"
"G3 10%..-10%"	"-10"	"oops::ModelAuxIncrement::~ModelAuxIncrement"	"0.11"	"0.1"	"288"	"336"	"0.0004"	"0.0003"
"G4 < -10% (slower)"	"-10.36"	"oops::ObsError::getRMSE"	"2.45"	"2.22"	"18"	"18"	"0.1359"	"0.1234"
"G4 < -10% (slower)"	"-10.4"	"oops::ObsOperator::aircar_airTemperature_133::ObsOp"	"200.39"	"181.52"	"3"	"3"	"66.797"	"60.507"
"G4 < -10% (slower)"	"-10.91"	"oops::ObsVector::rms"	"1.22"	"1.1"	"18"	"18"	"0.0677"	"0.061"
"G4 < -10% (slower)"	"-11.11"	"oops::ObsDiagnostics::ObsDiagnostics"	"0.1"	"0.09"	"9"	"9"	"0.0112"	"0.0094"
"G4 < -10% (slower)"	"-12.09"	"oops::VariableChange::VariableChange"	"995.56"	"888.19"	"5"	"5"	"199.1123"	"177.6389"
"G4 < -10% (slower)"	"-12.5"	"oops::ObsAuxCovariance::inverseMultiply"	"0.18"	"0.16"	"201"	"237"	"0.0009"	"0.0007"
"G4 < -10% (slower)"	"-14.6"	"oops::GetValues::initialize"	"720.24"	"628.5"	"15"	"15"	"48.0158"	"41.9003"
"G4 < -10% (slower)"	"-14.72"	"oops::GetValues::finalize"	"722.81"	"630.05"	"15"	"15"	"48.1872"	"42.0033"
"G4 < -10% (slower)"	"-15.62"	"oops::ObsOperator::aircar_specificHumidity_133::loc"	"0.37"	"0.32"	"5"	"5"	"0.0741"	"0.0644"
"G4 < -10% (slower)"	"-16.13"	"oops::ObsVector::dot_product"	"0.72"	"0.62"	"18"	"18"	"0.0402"	"0.0345"
"G4 < -10% (slower)"	"-16.82"	"oops::Geometry::~Geometry"	"552.68"	"473.09"	"3"	"3"	"184.2258"	"157.6951"
"G4 < -10% (slower)"	"-18.96"	"ObsFilter::Perform Action::postFilter"	"119.48"	"100.44"	"31"	"31"	"3.854"	"3.24"
"G4 < -10% (slower)"	"-20"	"oops::ObsAuxControl::write"	"0.06"	"0.05"	"3"	"3"	"0.02"	"0.0156"
"G4 < -10% (slower)"	"-20"	"ufo::ObsFilter::checkFilterData"	"0.06"	"0.05"	"252"	"252"	"0.0002"	"0.0002"
"G4 < -10% (slower)"	"-21.79"	"oops::ObsOperator::aircar_airTemperature_133::locat"	"0.95"	"0.78"	"5"	"5"	"0.1909"	"0.1561"
