"group"	"reduction_pct"	"name"	"total_ms_1936"	"total_ms_484"	"count_1936"	"count_484"	"time_per_call_ms_1936"	"time_per_call_ms_484"
"G2 50%..10% faster"	"50"	"oops::ObsDataVector::~ObsDataVector"	"0.01"	"0.02"	"21"	"21"	"0.0007"	"0.0007"
"G2 50%..10% faster"	"50"	"oops::ObsVector::operator="	"0.04"	"0.08"	"39"	"39"	"0.001"	"0.0021"
"G2 50%..10% faster"	"45.24"	"oops::ObsDataVector::print"	"35.58"	"64.97"	"9"	"9"	"3.9529"	"7.2194"
"G2 50%..10% faster"	"40.09"	"oops::GeoVaLs::fill"	"1.33"	"2.22"	"1760"	"1792"	"0.0008"	"0.0012"
"G2 50%..10% faster"	"37.41"	"oops::ObsAuxIncrement::axpy"	"1.69"	"2.7"	"3495"	"4737"	"0.0005"	"0.0006"
"G2 50%..10% faster"	"35.93"	"oops::ObsAuxIncrement::dot_product_with"	"1.73"	"2.7"	"3897"	"5211"	"0.0004"	"0.0005"
"G2 50%..10% faster"	"33.33"	"oops::ObsOperator::aircar_specificHumidity_133::com"	"0.04"	"0.06"	"5"	"5"	"0.0082"	"0.0112"
"G2 50%..10% faster"	"25"	"oops::ObsAuxIncrement::operator+="	"0.33"	"0.44"	"558"	"666"	"0.0006"	"0.0007"
"G2 50%..10% faster"	"25"	"oops::ObsDataVector::ObsDataVector"	"0.06"	"0.08"	"21"	"21"	"0.0028"	"0.0038"
"G2 50%..10% faster"	"21.73"	"oops::GeoVaLs::GeoVaLs"	"18.73"	"23.93"	"393"	"465"	"0.0477"	"0.0515"
"G2 50%..10% faster"	"20.2"	"oops::ObsVector::ObsVector"	"1.58"	"1.98"	"441"	"513"	"0.0036"	"0.0039"
"G2 50%..10% faster"	"20"	"oops::ObsAuxIncrement::operator="	"0.12"	"0.15"	"210"	"246"	"0.0006"	"0.0006"
"G2 50%..10% faster"	"20"	"oops::ObsOperator::aircar_specificHumidity_133::sim"	"0.04"	"0.05"	"3"	"3"	"0.0148"	"0.0153"
"G2 50%..10% faster"	"19.32"	"oops::GeoVaLs::~GeoVaLs"	"0.71"	"0.88"	"393"	"465"	"0.0018"	"0.0019"
"G2 50%..10% faster"	"18.64"	"oops::ObsError::update"	"72.3"	"88.86"	"9"	"9"	"8.0334"	"9.8735"
"G2 50%..10% faster"	"18.18"	"oops::ObsAuxPreconditioner::multiply"	"0.09"	"0.11"	"192"	"228"	"0.0004"	"0.0005"
"G2 50%..10% faster"	"17.91"	"ObsFilter::Background Check::postFilter"	"62.91"	"76.64"	"16"	"16"	"3.9316"	"4.7897"
"G2 50%..10% faster"	"16.67"	"oops::ObsOperator::aircar_winds_233::locations"	"0.3"	"0.36"	"5"	"5"	"0.0608"	"0.0728"
