  mype,      init,    upsend,    dnsend,    weight,    hfiltT,     hfilt,    vfiltT,     vfilt,     bocoT,      boco,   filt2an,     aintp,      intp,   an2filt,    output,     total,  multiply,  ifc_mult,   ifc_reg,  ifc_fset,preprocess,anal_to_fi, filtering,filt_to_an,postproces,    icount
    18,    0.0000,   50.6839,   44.4528,   16.8493,  134.0742,  133.6450,   10.7470,   38.6743,   52.8360,   10.6870,    0.0000,    0.0000,    0.0000,  100.4862,    0.0000,    0.0000,  685.3520,  685.5637,    0.0256,    0.0665,   10.9600,  102.1653,  492.9193,   59.8866,   15.5179,      3060
    19,    0.0000,   50.6600,   40.8244,   16.4716,  133.9646,  133.5662,   11.0360,   38.8158,   50.8219,   10.8758,    0.0000,    0.0000,    0.0000,   97.9097,    0.0000,    0.0000,  685.9816,  686.1959,    0.0273,    0.0683,   11.8153,   99.4799,  487.3228,   65.9178,   16.3144,      3060
    20,    0.0000,   46.8523,   44.1011,   15.8621,  133.8842,  133.5246,   10.7246,   38.5500,   49.0841,   10.7185,    0.0000,    0.0000,    0.0000,  102.9711,    0.0000,    0.0000,  685.6253,  685.8452,    0.0276,    0.0697,   11.2917,  104.7600,  483.5953,   66.1220,   15.3345,      3060
    21,    0.0000,   48.4535,   49.0555,   15.1387,  133.9666,  133.2234,   10.8675,   33.0963,   50.6093,   10.7610,    0.0000,    0.0000,    0.0000,  105.2511,    0.0000,    0.0000,  686.1570,  686.3699,    0.0263,    0.0658,   11.3576,  106.9819,  485.4525,   62.5060,   15.3314,      3060
    22,    0.0000,   50.2574,   46.7799,   16.9423,  134.3530,  133.1753,   10.8229,   32.4572,   50.6145,   10.7051,    0.0000,    0.0000,    0.0000,  105.8153,    0.0000,    0.0000,  686.7161,  686.9377,    0.0281,    0.0709,   11.3205,  107.3567,  486.3847,   62.4355,   14.7997,      3060
    23,    0.0000,   50.5244,   45.8351,   17.3880,  134.1206,  133.1080,   10.7964,   34.3646,   48.7959,   10.7107,    0.0000,    0.0000,    0.0000,  105.2106,    0.0000,    0.0000,  686.5616,  686.7795,    0.0269,    0.0652,   11.2501,  106.9073,  485.9251,   63.6736,   14.5489,      3060
    24,    0.0000,   50.0662,   40.5345,   17.5259,  134.3988,  133.4927,   11.0316,   33.5746,   48.6754,   10.1233,    0.0000,    0.0000,    0.0000,  104.9909,    0.0000,    0.0000,  679.7466,  679.9623,    0.0264,    0.0694,   12.2175,  106.3918,  479.6995,   61.7954,   15.1243,      3060
    25,    0.0000,   50.6207,   36.1784,   17.9186,  134.4622,  133.4509,   10.7628,   33.9264,   49.2907,   10.3640,    0.0000,    0.0000,    0.0000,  105.8778,    0.0000,    0.0000,  676.5456,  676.7530,    0.0251,    0.0646,   11.6007,  107.3951,  477.2422,   59.9903,   16.7400,      3060
    26,    0.0000,   48.1383,   35.6990,   18.1548,  134.5505,  133.3917,   11.2318,   37.0014,   47.5704,   10.5045,    0.0000,    0.0000,    0.0000,  101.5666,    0.0000,    0.0000,  674.9344,  675.1503,    0.0268,    0.0690,   13.5486,  103.0566,  476.5167,   57.7362,   18.7956,      3060
    27,    0.0000,   50.4295,   33.7947,   17.4463,  134.5185,  133.7428,   10.6549,   36.3885,   46.5928,   10.5267,    0.0000,    0.0000,    0.0000,  103.3211,    0.0000,    0.0000,  665.6356,  665.8597,    0.0262,    0.0708,   11.4822,  105.0437,  474.3731,   51.6936,   19.9648,      3060
    28,    0.0000,   50.3186,   57.9808,   14.5191,  133.8930,  133.0882,   11.0222,   37.8775,   49.3205,   11.1794,    0.0000,    0.0000,    0.0000,  100.7169,    0.0000,    0.0000,  684.4273,  684.6485,    0.0262,    0.0713,   11.7506,  102.7089,  499.4959,   51.3072,   15.5119,      3060
    29,    0.0000,   49.2352,   54.2996,   15.8152,  134.2489,  132.8319,   11.0289,   34.4980,   51.1590,   10.9821,    0.0000,    0.0000,    0.0000,  107.4315,    0.0000,    0.0000,  686.0934,  686.3111,    0.0264,    0.0682,   11.4919,  108.8228,  494.3435,   54.4845,   13.6654,      3060
    30,    0.0000,   50.5269,   53.8945,   17.1007,  134.1818,  133.0395,   11.1748,   36.4830,   47.4305,   11.2477,    0.0000,    0.0000,    0.0000,  102.5363,    0.0000,    0.0000,  686.9474,  687.1687,    0.0261,    0.0701,   13.5213,  103.6243,  495.3472,   56.7494,   12.5949,      3060
    31,    0.0000,   51.6760,   41.5589,   15.9868,  134.2330,  133.4393,   11.1313,   40.0784,   44.5107,   10.4217,    0.0000,    0.0000,    0.0000,  104.0217,    0.0000,    0.0000,  682.9311,  683.1527,    0.0259,    0.0697,   12.0050,  105.4209,  483.3107,   62.4497,   16.0055,      3060
